phase_key,seed,arm,calibrator,fold,n_estimators,threshold,n_inner_train,n_inner_holdout,n_calibration_rows,n_selection_rows,uncalibrated_threshold,elapsed_sec
P6_fixed,42,split,isotonic,2,50,0.24,163200,40801,20401,20400,0.22,12.2
P6_fixed,42,split,none,3,50,0.22,163200,40801,20401,20400,0.22,12.1
P6_fixed,42,split,platt,3,50,0.22,163200,40801,20401,20400,0.22,12.2
P6_fixed,42,split,isotonic,3,50,0.26,163200,40801,20401,20400,0.22,12.3
P6_fixed,42,split,none,4,50,0.23,163200,40801,20401,20400,0.23,11.7
P6_fixed,42,split,platt,4,50,0.24,163200,40801,20401,20400,0.23,11.8
P6_fixed,42,split,isotonic,4,50,0.26,163200,40801,20401,20400,0.23,11.9
P6_clean,42,shared,none,0,50,0.22,163200,40800,40800,40800,0.22,11.7
P6_clean,42,shared,platt,0,50,0.22,163200,40800,40800,40800,0.22,11.9
P6_clean,42,shared,isotonic,0,50,0.24,163200,40800,40800,40800,0.22,12.1
P6_clean,42,shared,none,1,50,0.23,163200,40801,40801,40801,0.23,11.9
P6_clean,42,shared,platt,1,50,0.23,163200,40801,40801,40801,0.23,12.1
P6_clean,42,shared,isotonic,1,50,0.24,163200,40801,40801,40801,0.23,12.2
P6_clean,42,shared,none,2,50,0.23,163200,40801,40801,40801,0.23,12.2
P6_clean,42,shared,platt,2,50,0.23,163200,40801,40801,40801,0.23,12.3
P6_clean,42,shared,isotonic,2,50,0.24,163200,40801,40801,40801,0.23,12.5
P6_clean,42,shared,none,3,50,0.23,163200,40801,40801,40801,0.23,12.2
P6_clean,42,shared,platt,3,50,0.23,163200,40801,40801,40801,0.23,12.4
P6_clean,42,shared,isotonic,3,50,0.24,163200,40801,40801,40801,0.23,12.5
P6_clean,42,shared,none,4,50,0.23,163200,40801,40801,40801,0.23,12.4
P6_clean,42,shared,platt,4,50,0.24,163200,40801,40801,40801,0.23,12.5
P6_clean,42,shared,isotonic,4,50,0.24,163200,40801,40801,40801,0.23,12.7
P6_clean,42,split,none,0,50,0.22,163200,40800,20400,20400,0.22,11.5
P6_clean,42,split,platt,0,50,0.23,163200,40800,20400,20400,0.22,11.7
P6_clean,42,split,isotonic,0,50,0.23,163200,40800,20400,20400,0.22,11.8
P6_clean,42,split,none,1,50,0.22,163200,40801,20401,20400,0.22,11.9
P6_clean,42,split,platt,1,50,0.22,163200,40801,20401,20400,0.22,12.0
P6_clean,42,split,isotonic,1,50,0.22,163200,40801,20401,20400,0.22,12.1
P6_clean,42,split,none,2,50,0.23,163200,40801,20401,20400,0.23,12.2
P6_clean,42,split,platt,2,50,0.24,163200,40801,20401,20400,0.23,12.3
P6_clean,42,split,isotonic,2,50,0.25,163200,40801,20401,20400,0.23,12.4
P6_clean,42,split,none,3,50,0.23,163200,40801,20401,20400,0.23,11.8
P6_clean,42,split,platt,3,50,0.23,163200,40801,20401,20400,0.23,12.0
P6_clean,42,split,isotonic,3,50,0.26,163200,40801,20401,20400,0.23,12.1
P6_clean,42,split,none,4,50,0.23,163200,40801,20401,20400,0.23,12.5
P6_clean,42,split,platt,4,50,0.24,163200,40801,20401,20400,0.23,12.6
P6_clean,42,split,isotonic,4,50,0.25,163200,40801,20401,20400,0.23,12.7
P6_fixed,1,shared,none,0,50,0.22,163200,40800,40800,40800,0.22,11.9
P6_fixed,1,shared,platt,0,50,0.23,163200,40800,40800,40800,0.22,12.1
P6_fixed,1,shared,isotonic,0,50,0.24,163200,40800,40800,40800,0.22,12.3
P6_fixed,1,shared,none,1,50,0.23,163200,40801,40801,40801,0.23,12.0
P6_fixed,1,shared,platt,1,50,0.23,163200,40801,40801,40801,0.23,12.2
P6_fixed,1,shared,isotonic,1,50,0.23,163200,40801,40801,40801,0.23,12.3
P6_fixed,1,shared,none,2,50,0.23,163200,40801,40801,40801,0.23,12.0
P6_fixed,1,shared,platt,2,50,0.23,163200,40801,40801,40801,0.23,12.2
P6_fixed,1,shared,isotonic,2,50,0.23,163200,40801,40801,40801,0.23,12.3
P6_fixed,1,shared,none,3,50,0.23,163200,40801,40801,40801,0.23,12.2
P6_fixed,1,shared,platt,3,50,0.23,163200,40801,40801,40801,0.23,12.3
P6_fixed,1,shared,isotonic,3,50,0.23,163200,40801,40801,40801,0.23,12.5
P6_fixed,1,shared,none,4,75,0.22,163200,40801,40801,40801,0.22,11.8
P6_fixed,1,shared,platt,4,75,0.23,163200,40801,40801,40801,0.22,11.9
P6_fixed,1,shared,isotonic,4,75,0.25,163200,40801,40801,40801,0.22,12.1
P6_fixed,1,split,none,0,50,0.23,163200,40800,20400,20400,0.23,11.2
P6_fixed,1,split,platt,0,50,0.23,163200,40800,20400,20400,0.23,11.3
P6_fixed,1,split,isotonic,0,50,0.22,163200,40800,20400,20400,0.23,11.4
P6_fixed,1,split,none,1,50,0.22,163200,40801,20401,20400,0.22,11.6
P6_fixed,1,split,platt,1,50,0.23,163200,40801,20401,20400,0.22,11.7
P6_fixed,1,split,isotonic,1,50,0.23,163200,40801,20401,20400,0.22,11.8
P6_fixed,1,split,none,2,50,0.23,163200,40801,20401,20400,0.23,11.7
P6_fixed,1,split,platt,2,50,0.23,163200,40801,20401,20400,0.23,11.8
P6_fixed,1,split,isotonic,2,50,0.23,163200,40801,20401,20400,0.23,11.9
P6_fixed,1,split,none,3,75,0.23,163200,40801,20401,20400,0.23,12.6
P6_fixed,1,split,platt,3,75,0.23,163200,40801,20401,20400,0.23,12.7
P6_fixed,1,split,isotonic,3,75,0.22,163200,40801,20401,20400,0.23,12.9
P6_fixed,1,split,none,4,50,0.22,163200,40801,20401,20400,0.22,13.0
P6_fixed,1,split,platt,4,50,0.22,163200,40801,20401,20400,0.22,13.1
P6_fixed,1,split,isotonic,4,50,0.23,163200,40801,20401,20400,0.22,13.2
P6_clean,1,shared,none,0,50,0.22,163200,40800,40800,40800,0.22,12.6
P6_clean,1,shared,platt,0,50,0.23,163200,40800,40800,40800,0.22,12.7
P6_clean,1,shared,isotonic,0,50,0.24,163200,40800,40800,40800,0.22,12.9
P6_clean,1,shared,none,1,50,0.23,163200,40801,40801,40801,0.23,13.2
P6_clean,1,shared,platt,1,50,0.23,163200,40801,40801,40801,0.23,13.3
P6_clean,1,shared,isotonic,1,50,0.22,163200,40801,40801,40801,0.23,13.5
P6_clean,1,shared,none,2,50,0.23,163200,40801,40801,40801,0.23,13.4
P6_clean,1,shared,platt,2,50,0.24,163200,40801,40801,40801,0.23,13.6
P6_clean,1,shared,isotonic,2,50,0.23,163200,40801,40801,40801,0.23,13.8
P6_clean,1,shared,none,3,50,0.23,163200,40801,40801,40801,0.23,13.0
P6_clean,1,shared,platt,3,50,0.23,163200,40801,40801,40801,0.23,13.1
P6_clean,1,shared,isotonic,3,50,0.24,163200,40801,40801,40801,0.23,13.3
P6_clean,1,shared,none,4,75,0.22,163200,40801,40801,40801,0.22,13.0
P6_clean,1,shared,platt,4,75,0.22,163200,40801,40801,40801,0.22,13.2
P6_clean,1,shared,isotonic,4,75,0.24,163200,40801,40801,40801,0.22,13.3
P6_clean,1,split,none,0,50,0.23,163200,40800,20400,20400,0.23,13.7
P6_clean,1,split,platt,0,50,0.23,163200,40800,20400,20400,0.23,13.9
P6_clean,1,split,isotonic,0,50,0.24,163200,40800,20400,20400,0.23,14.0
P6_clean,1,split,none,1,75,0.23,163200,40801,20401,20400,0.23,14.2
P6_clean,1,split,platt,1,75,0.23,163200,40801,20401,20400,0.23,14.4
P6_clean,1,split,isotonic,1,75,0.22,163200,40801,20401,20400,0.23,14.5
P6_clean,1,split,none,2,50,0.23,163200,40801,20401,20400,0.23,13.4
P6_clean,1,split,platt,2,50,0.23,163200,40801,20401,20400,0.23,13.6
P6_clean,1,split,isotonic,2,50,0.23,163200,40801,20401,20400,0.23,13.7
P6_clean,1,split,none,3,75,0.24,163200,40801,20401,20400,0.24,13.2
P6_clean,1,split,platt,3,75,0.23,163200,40801,20401,20400,0.24,13.3
P6_clean,1,split,isotonic,3,75,0.25,163200,40801,20401,20400,0.24,13.4
P6_clean,1,split,none,4,75,0.21,163200,40801,20401,20400,0.21,12.6
P6_clean,1,split,platt,4,75,0.22,163200,40801,20401,20400,0.21,12.7
P6_clean,1,split,isotonic,4,75,0.24,163200,40801,20401,20400,0.21,12.8
P6_fixed,7,shared,none,0,50,0.23,163200,40800,40800,40800,0.23,11.5
P6_fixed,7,shared,platt,0,50,0.24,163200,40800,40800,40800,0.23,11.7
P6_fixed,7,shared,isotonic,0,50,0.23,163200,40800,40800,40800,0.23,11.8
P6_fixed,7,shared,none,1,50,0.23,163200,40801,40801,40801,0.23,12.8
P6_fixed,7,shared,platt,1,50,0.23,163200,40801,40801,40801,0.23,12.9
P6_fixed,7,shared,isotonic,1,50,0.23,163200,40801,40801,40801,0.23,13.1
P6_fixed,7,shared,none,2,50,0.23,163200,40801,40801,40801,0.23,12.5
P6_fixed,7,shared,platt,2,50,0.23,163200,40801,40801,40801,0.23,12.7
P6_fixed,7,shared,isotonic,2,50,0.24,163200,40801,40801,40801,0.23,12.8
P6_fixed,7,shared,none,3,50,0.22,163200,40801,40801,40801,0.22,11.8
P6_fixed,7,shared,platt,3,50,0.22,163200,40801,40801,40801,0.22,11.9
P6_fixed,7,shared,isotonic,3,50,0.22,163200,40801,40801,40801,0.22,12.0
P6_fixed,7,shared,none,4,50,0.22,163200,40801,40801,40801,0.22,11.7
